RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020
270928,1538,SoHo,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2495626,2510155,2499234,2501022,2514754,2550657,2567207,2569172,2555057,2565947,2586012,2595484,2601027,2621867,2665573,2698666
274175,1560,Kensington,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,65782,66303,66874,66849,66764,66270,65923,65474,65158,64841,65018,65343,65843,66182,66316,66968
426284,1570,Great Neck Village,Neighborhood,NY,NY,Great Neck,New York-Newark-Jersey City,Nassau County,1029596,1028239,1026331,1025272,1021861,1019055,1016516,1017883,1018092,1017658,1012991,1009242,1005405,1002751,999958,996640
193861,1571,Clason Point,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,421142,423589,429276,433333,435387,436229,439317,442525,444028,445301,446155,449997,453778,456081,456902,459055
273038,1573,Brighton,Neighborhood,NY,NY,Syracuse,Syracuse,Onondaga County,39106,38762,38477,38893,39619,39998,40224,40456,40710,40911,40971,40942,41435,42129,42664,42753
270925,1577,Schiller Park,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,47035,46882,47281,47516,47985,48059,48396,48823,49398,49780,50192,50777,51621,52434,52727,53144
198092,1580,South Troy,Neighborhood,NY,NY,Troy,Albany-Schenectady-Troy,Rensselaer County,152114,152259,152059,152532,152948,153934,154805,155803,156698,157643,158410,159282,159892,160853,162602,164081
252377,1607,Woodlawn,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,117067,118331,120101,120983,121451,121725,122976,124370,126055,127128,127939,129378,130290,130878,130754,131231
270873,1622,Little Italy,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2217136,2212303,2195746,2175321,2163363,2159990,2165342,2166320,2162009,2167748,2180113,2186324,2203104,2223076,2251565,2279777
274627,1627,Murray Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,780295,765054,756167,756402,756555,754203,750624,741066,733282,727750,729488,736206,744945,747169,746777,743908
343224,1642,Eastchester,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,416535,419076,424153,429389,433453,435476,437584,439318,441895,446131,448943,451737,454014,456380,456522,457033
760943,1652,Mont Pleasant,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,90519,92153,93397,93951,93972,94141,94741,95142,95563,96231,96940,97590,98452,99575,101126,103196
274645,1654,Near Northeast,Neighborhood,NY,NY,Syracuse,Syracuse,Onondaga County,65936,66314,66521,66587,66846,66986,67140,67108,67076,67053,67056,67034,66952,66923,66833,66853
12514,1658,Mahopac,Neighborhood,NY,NY,Town Of Carmel,New York-Newark-Jersey City,Putnam County,398981,397918,397577,398042,400232,401733,403425,405112,407002,407436,407413,406693,406569,407178,407563,405834
193821,1681,Chinatown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,918570,916639,906285,896098,887048,887255,888260,893470,892979,898127,900100,906128,912579,917244,925433,933403
270912,1704,Prince's Bay,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,714467,715556,714421,712806,710562,708913,707778,707487,707953,706794,705753,703709,703019,701606,701804,702615
50093,1714,Snyder,Neighborhood,NY,NY,Town Of Amherst,Buffalo-Cheektowaga-Niagara Falls,Erie County,214516,214876,216403,217435,219024,219930,220936,221471,222210,223120,224786,226854,228726,230489,231770,233441
197042,1734,Park Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,433550,433885,431082,428371,426028,426308,427179,427752,428790,428870,428458,427282,426867,427217,429652,432070
403218,1747,Georgetown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,578589,579373,578427,577050,575498,574486,574823,576630,579245,580599,581662,582701,583691,584550,586496,589694
195119,1759,Greenridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,488814,489458,487866,485981,484714,485376,486516,487272,487261,486726,486161,485628,485650,485787,486872,488588
275164,1762,Richmond Town,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,594655,594958,592831,591630,589467,588737,588575,589061,589636,588029,586419,585227,585380,585203,586576,588499
195125,1824,Greenville,Neighborhood,NY,NY,Scarsdale,New York-Newark-Jersey City,Westchester County,1071786,1064022,1060318,1061259,1064182,1068753,1068522,1065981,1063630,1057441,1051728,1047152,1042692,1039371,1034710,1029559
196350,1827,Midland Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,545071,544300,542024,539395,537057,536368,535792,535615,534921,533930,532515,532338,532331,532581,532963,534642
343880,1854,Lyell-Otis,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,54642,55245,55649,56191,56867,57308,57539,57814,58233,58845,59600,60552,61412,62280,63494,64704
56273,1867,Rockaway Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,235543,236947,238463,241050,243609,246079,247349,248366,249045,249317,249164,248577,247552,246090,244194,241377
270880,1870,Marble Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,1044295,1046499,1048306,1048176,1047882,1047516,1048855,1050363,1052167,1054370,1057002,1060078,1063612,1067615,1072096,1077872
343881,1895,Beechwood,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,53629,54519,55183,56233,57916,59281,60123,60781,61279,61761,62262,62663,62955,63320,63876,64427
342696,1896,Campus Area (University District),Neighborhood,NY,NY,Albany,Albany-Schenectady-Troy,Albany County,177877,178936,179779,180501,180822,181552,182481,183115,183576,183762,184634,185421,185599,184636,183719,182933
197995,1979,South Beach,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,556510,554406,550641,546740,543884,542884,541494,539636,537951,536377,534218,532840,531924,532469,533850,536235
342683,1999,Delaware Avenue,Neighborhood,NY,NY,Albany,Albany-Schenectady-Troy,Albany County,144610,145429,146510,147472,147809,147783,148287,148416,148558,148225,148731,148848,149178,148674,147911,146946
270867,2027,LaSalle,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,59192,59818,61056,61850,62589,62857,63424,64097,64659,65073,65444,65947,66443,66815,66745,67033
396747,2042,Glens Falls North,Neighborhood,NY,NY,Town Of Queensbury,Glens Falls,Warren County,214502,215307,216128,217724,218332,219160,218243,217902,217468,218002,217500,216946,216724,217089,217690,217368
762572,2050,Mount Vernon Heights,Neighborhood,NY,NY,Mount Vernon,New York-Newark-Jersey City,Westchester County,399168,397773,397291,399453,402314,405106,407765,410819,413435,415638,417689,420168,425104,430306,434705,436301
274792,2067,Northside,Neighborhood,NY,NY,Syracuse,Syracuse,Onondaga County,88514,88811,88908,89615,90571,91714,92615,93491,94502,95553,96429,97268,97946,98812,99915,101019
764297,2077,Northside,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,136175,137192,137842,136919,136094,135659,136619,136884,137684,138501,139407,140471,140759,141074,141378,142783
193043,2108,Arrochar,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,594339,594344,592447,590491,588179,587363,584952,582180,579529,577655,574840,572543,570126,568873,568697,569851
762152,2120,Union Street,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,148876,149931,150778,150686,150476,150633,151213,151631,152143,152866,153703,154875,155472,155842,155887,156468
44012,2138,Baldwin Harbor,Neighborhood,NY,NY,Baldwin,New York-Newark-Jersey City,Nassau County,493639,495418,497963,499862,500625,502215,503768,506030,506617,507194,508561,510621,512909,514471,514549,515332
195405,2170,Hillcrest,Neighborhood,NY,NY,Ramapo,New York-Newark-Jersey City,Rockland County,450235,452069,451006,450009,449217,448542,447220,446340,445781,444059,441816,437773,434183,431851,431180,429951
195069,2199,Grant City,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,577726,576984,574837,573017,570614,570125,569686,569276,568404,567086,565770,565688,566180,566644,568152,570341
403204,2205,Castleton Corners,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,602948,601027,598425,595288,592083,589796,588968,587999,587201,585874,583659,582745,582118,582547,582883,584450
270874,2225,Lovejoy,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,65083,65615,66755,66993,67409,67373,67425,67667,67983,68121,68456,68960,69196,69338,68887,68805
270816,2238,Cobble Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,1396481,1389772,1388010,1391198,1402985,1413486,1413867,1408555,1411174,1409854,1408863,1407697,1408997,1420205,1427376,1434105
195167,2273,Grymes Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,605742,604330,601256,598694,595545,594690,593632,591513,589738,589274,589549,590217,590573,591043,592954,595117
343882,2280,North Winton Village,Neighborhood,NY,NY,Rochester,Rochester,Monroe County,126444,127392,127814,128545,129607,130361,130183,130205,130300,130764,131183,131528,132072,132862,134152,135621
343226,2286,Country Club,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,559320,561899,565963,569826,573463,576942,581675,582883,582357,583650,584999,589267,591355,593606,591784,591639
193536,2335,Bryn Mawr,Neighborhood,NY,NY,Yonkers,New York-Newark-Jersey City,Westchester County,505802,500453,499155,500530,504766,509622,512340,514938,516747,516235,514430,514924,516599,520579,522486,522783
760938,2343,Central State Street,Neighborhood,NY,NY,Schenectady,Albany-Schenectady-Troy,Schenectady County,82514,83025,83489,84578,85525,86737,87611,88179,88688,88982,90155,91016,92575,93484,94386,95326
